stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\gustavo.pneumann\source\repos\Project1\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.16514] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16530] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16545] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16562] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16575] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16587] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16597] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16613] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16628] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.16639] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16656] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.16672] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16689] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16704] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16714] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16726] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16735] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16748] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16759] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16770] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16780] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16791] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16801] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16813] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16826] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16840] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16856] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.16868] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16883] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.16896] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16906] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16918] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16929] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16944] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16953] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16962] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16972] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16984] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16993] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17003] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17012] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17021] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17031] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17044] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17053] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17063] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17072] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17081] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17095] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17108] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17117] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17126] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17135] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17144] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17158] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17172] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17181] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17194] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17203] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17212] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17221] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17230] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17239] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17248] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17257] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17266] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17274] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17283] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.17291] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17300] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.17309] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17322] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.17331] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17343] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.17353] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17362] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.17371] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17380] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.17389] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17398] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.17407] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17416] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17425] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17434] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17446] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17457] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.17470] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17483] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.17492] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17502] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.17523] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17533] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.17546] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17560] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.17569] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17582] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.17595] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17605] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.17614] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17624] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17634] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17644] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17653] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17667] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.17679] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17694] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.17704] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17715] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.17723] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17734] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.17744] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17754] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.17763] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17773] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.17782] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17792] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.17801] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17811] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17820] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17829] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17838] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17847] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.17856] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17873] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.17883] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17893] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.17901] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17911] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.17920] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17929] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.17938] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17948] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.17956] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17970] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.17983] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17994] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18002] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18012] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18021] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18032] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.18041] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18050] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.18059] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18073] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.18084] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18097] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.18109] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18118] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.18127] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18138] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.18146] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18156] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.18164] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18173] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18183] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18192] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18201] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18212] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.18220] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18230] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.18239] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18248] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.18256] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18266] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.18275] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18284] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.18293] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18303] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.18311] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18321] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.18330] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18339] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18348] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18358] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18367] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18376] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.18385] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18394] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.18404] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18413] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.18422] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18432] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.18441] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18450] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.18459] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18469] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.18478] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18488] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.18497] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18508] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18519] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18544] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18552] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18562] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.18570] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18580] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.18588] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18597] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.18605] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18614] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.18622] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18631] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.18640] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18648] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.18657] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18667] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.18675] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18685] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18693] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18703] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18712] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18721] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18731] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18740] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18749] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18759] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18767] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18777] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18785] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18794] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18803] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18812] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18821] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18831] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18840] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18850] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18858] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18867] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18876] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18885] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18894] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18903] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18912] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18922] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18931] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18940] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18949] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18960] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18970] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18979] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18988] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18996] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19005] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19014] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19023] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19032] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19041] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19058] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19067] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19076] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19085] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19094] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19103] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19113] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19122] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19131] Single Buffer requirement not met.
